producto,precio,stock
Coca-Cola,900,20
Pepsi,850,20
Sprite,850,20
Fanta,850,20
Agua mineral,700,20
Agua saborizada,750,20
Speed,1000,20
Monster,1200,20
Gatorade,1100,20
Powerade,1100,20
Cepita,850,20
Levité,800,20
Schweppes,850,20
Coca-Cola Zero,900,20
Pepsi Light,850,20
H2Oh!,850,20
Baggio,750,20
Paso de los Toros,800,20
Fuze Tea,900,20
Bon Aqua,700,20
Bon o Bon,250,20
Tita,200,20
Rhodesia,200,20
Mogul,300,20
Sugus,150,20
Palito de la selva,100,20
Chupetín,120,20
Caramelo Media Hora,100,20
Rocklets,350,20
Milka,600,20
Shot,400,20
Marroc,250,20
Tofi,200,20
Lheritier,300,20
Flynn Paff,150,20
Cofler Block,500,20
Twix,550,20
Snickers,550,20
Luna Lunera,180,20
Cabsha,300,20
Hamburguesa clásica,1500,20
Hamburguesa con queso,1700,20
Hamburguesa completa,2000,20
Papas fritas chicas,900,20
Papas fritas grandes,1200,20
Pizza muzzarella,1800,20
Pizza napolitana,2000,20
Empanada de carne,500,20
Empanada de jamón y queso,500,20
Lomito completo,2500,20
Helado 1 kilo,4200,15
Helado 1/2 kilo,2300,15
Helado 1/4 kilo,1300,15
Cono simple,800,15
